contract,label,sector,method,method_name,direction,n_signals,win_rate,avg_return,avg_loss,avg_weeks,reward_risk,horizon
dow,Dow Jones,Equities,C,Shapiro,long,16,0.9375,0.055661315890190174,-0.015390879478827335,6.580357142857143,3.9242805453631693,
dow,Dow Jones,Equities,C,Shapiro,short,30,0.4666666666666667,0.0006301120006871293,-0.02479828751744731,5.43809523809524,1.1973060639982673,
bond30,30Y T-Bond,Fixed Income,A,Current,long,51,0.5294117647058824,0.005680492600259137,-0.029383727847940518,,,3m
bond30,30Y T-Bond,Fixed Income,A,Current,short,36,0.5,0.003976540449690202,-0.0246086997590933,,,3m
bond30,30Y T-Bond,Fixed Income,B,Hybrid,short,6,0.3333333333333333,-0.004581320391046566,-0.017095270056268097,4.4523809523809526,1.1960372004711104,
bond30,30Y T-Bond,Fixed Income,C,Shapiro,short,2,1.0,0.020446578939396498,0.0,3.6428571428571432,,
tnote10,10Y T-Note,Fixed Income,A,Current,long,43,0.4186046511627907,0.0008625482932760925,-0.017135085204158157,,,3m
tnote10,10Y T-Note,Fixed Income,A,Current,short,34,0.5882352941176471,0.003839396468197992,-0.012287671063982129,,,3m
tnote10,10Y T-Note,Fixed Income,B,Hybrid,long,11,0.36363636363636365,-0.00032306404547412866,-0.009083523762887014,11.324675324675326,1.6521936697426016,
tnote10,10Y T-Note,Fixed Income,B,Hybrid,short,8,1.0,0.008282784513852892,0.0,9.214285714285715,,
tnote10,10Y T-Note,Fixed Income,C,Shapiro,long,3,0.0,-0.004684973740332832,-0.004684973740332832,12.04761904761905,,
tnote10,10Y T-Note,Fixed Income,C,Shapiro,short,5,1.0,0.010772574643628064,0.0,12.371428571428572,,
tnote5,5Y T-Note,Fixed Income,A,Current,long,45,0.5111111111111111,-0.001112911408403098,-0.00926396650226232,,,3m
tnote5,5Y T-Note,Fixed Income,A,Current,short,27,0.4444444444444444,-0.00673896621622707,-0.01667736403963767,,,3m
tnote5,5Y T-Note,Fixed Income,B,Hybrid,long,16,0.3125,-0.007026221654284959,-0.013765809367412694,19.5,0.5666845374935077,
